year,region,metric,dim_name,dim_value,value
2008,AMAZONAS,siniestros_total,,,271.0
2008,ANCASH,siniestros_total,,,1616.0
2008,APURIMAC,siniestros_total,,,428.0
2008,AREQUIPA,siniestros_total,,,5594.0
2008,AYACUCHO,siniestros_total,,,752.0
2008,CAJAMARCA,siniestros_total,,,3070.0
2008,CUSCO,siniestros_total,,,2514.0
2008,HUANCAVELICA,siniestros_total,,,47.0
2008,HUÁNUCO,siniestros_total,,,462.0
2008,ICA,siniestros_total,,,1404.0
2008,JUNIN,siniestros_total,,,1889.0
2008,LA LIBERTAD,siniestros_total,,,4020.0
2008,LAMBAYEQUE,siniestros_total,,,597.0
2008,LIMA,siniestros_total,,,52684.0
2008,CALLAO,siniestros_total,,,3299.0
2008,LORETO,siniestros_total,,,1081.0
2008,MADRE DE DIOS,siniestros_total,,,112.0
2008,MOQUEGUA,siniestros_total,,,554.0
2008,PASCO,siniestros_total,,,90.0
2008,PIURA,siniestros_total,,,1593.0
2008,PUNO,siniestros_total,,,929.0
2008,SAN MARTÍN,siniestros_total,,,382.0
2008,TACNA,siniestros_total,,,243.0
2008,TUMBES,siniestros_total,,,309.0
2008,UCAYALI,siniestros_total,,,1397.0
2008,TOTAL SINIESTROS DE TRÁNSITO,siniestros_total,,,85337.0
2009,AMAZONAS,siniestros_total,,,220.0
2009,ANCASH,siniestros_total,,,2263.0
2009,APURIMAC,siniestros_total,,,183.0
2009,AREQUIPA,siniestros_total,,,5293.0
2009,AYACUCHO,siniestros_total,,,613.0
2009,CAJAMARCA,siniestros_total,,,3590.0
2009,CUSCO,siniestros_total,,,1774.0
2009,HUANCAVELICA,siniestros_total,,,56.0
2009,HUÁNUCO,siniestros_total,,,673.0
2009,ICA,siniestros_total,,,1485.0
2009,JUNIN,siniestros_total,,,1819.0
2009,LA LIBERTAD,siniestros_total,,,3625.0
2009,LAMBAYEQUE,siniestros_total,,,909.0
2009,LIMA,siniestros_total,,,52916.0
2009,CALLAO,siniestros_total,,,3112.0
2009,LORETO,siniestros_total,,,1092.0
2009,MADRE DE DIOS,siniestros_total,,,76.0
2009,MOQUEGUA,siniestros_total,,,654.0
2009,PASCO,siniestros_total,,,205.0
2009,PIURA,siniestros_total,,,1585.0
2009,PUNO,siniestros_total,,,931.0
2009,SAN MARTÍN,siniestros_total,,,491.0
2009,TACNA,siniestros_total,,,1037.0
2009,TUMBES,siniestros_total,,,295.0
2009,UCAYALI,siniestros_total,,,1129.0
2009,TOTAL SINIESTROS DE TRÁNSITO,siniestros_total,,,86026.0
2010,AMAZONAS,siniestros_total,,,95.0
2010,ANCASH,siniestros_total,,,1946.0
2010,APURIMAC,siniestros_total,,,129.0
